20050000 240 47376.00000000002
  206 0.85625 211.262 303.683
  207 0.860417 189.454 302.139
  208 0.864583 188.996 300.376
  209 0.86875 210.006 302.255
  210 0.872917 189 304.278
  211 0.877083 189 298.251
  212 0.88125 210 300.376
  213 0.885417 189 301.267
  214 0.889583 189 297.691
  215 0.89375 210.014 300.76
  216 0.897917 188.988 299.966
  217 0.902083 190.006 297.85
  218 0.90625 211.756 293.844
  219 0.910417 188.354 291.498
  220 0.914583 198.808 293.253
  221 0.91875 206.18 297.105
  222 0.922917 190.898 297.242
  223 0.927083 203.608 298.104
  224 0.93125 202.236 296.226
  225 0.935417 187.85 298.052
  226 0.939583 212.57 295.504
  227 0.94375 191.732 292.853
  228 0.947917 188.838 291.501
  229 0.952083 210.128 296.785
  230 0.95625 189.034 299.241
  231 0.960417 189 301.642
  232 0.964583 210 300.364
  233 0.96875 189 301.14
  234 0.972917 189.004 299.071
  235 0.977083 210.05 300.654
  236 0.98125 188.97 298.42
  237 0.985417 190.578 302.291
  238 0.989583 210.978 298.213
  239 0.99375 188.732 296.602
  240 0.997917 196.772 301.44
20100000 240 47376
  1 0.00208333 211.52 301.33
  2 0.00625 191.44 299.584
  3 0.0104167 205.372 296.629
  4 0.0145833 204.518 300.574
  5 0.01875 187.898 299.899
  6 0.0229167 212.28 297.421
  7 0.0270833 191.662 301.575
  8 0.03125 188.858 305.903
  9 0.0354167 210.158 303.148
  10 0.0395833 189.01 304.014
  11 0.04375 189 299.176
  12 0.0479167 210 301.307
  13 0.0520833 189 302.12
  14 0.05625 189 304.746
  15 0.0604167 210 306.75
  16 0.0645833 189 303.937
  17 0.06875 189.006 304.065
  18 0.0729167 210.014 303.961
  19 0.0770833 189.26 302.93
  20 0.08125 190.31 303.895
  21 0.0854167 210.408 301.047
  22 0.0895833 192.406 301.242
  23 0.09375 201.366 303.005
  24 0.0979167 206.548 304.022
  25 0.102083 188.308 306.661
  26 0.10625 211.914 305.709
  27 0.110417 194.172 301.981
  28 0.114583 188.89 304.679
  29 0.11875 210.324 299.548
  30 0.122917 189.074 301.4
  31 0.127083 189 302.176
  32 0.13125 210 295.23
  33 0.135417 189 297.711
  34 0.139583 189 298.868
  35 0.14375 210 297.628
  36 0.147917 189 295.892
  37 0.152083 189 298.73
  38 0.15625 210 297.686
  39 0.160417 189.002 303.153
  40 0.164583 189.006 306.159
  41 0.16875 210.018 305.145
  42 0.172917 189.58 305.541
  43 0.177083 192.226 306.145
  44 0.18125 211.106 306.089
  45 0.185417 193.046 315.193
  46 0.189583 207.268 313.067
  47 0.19375 200.02 303.174
  48 0.197917 190.956 306.133
  49 0.202083 210.712 301.945
  50 0.20625 189.974 307.391
  51 0.210417 189.064 308.167
  52 0.214583 210.022 308.259
  53 0.21875 189 302.826
  54 0.222917 189 307.699
  55 0.227083 210 307.511
  56 0.23125 189.002 308.921
  57 0.235417 189.016 307.642
  58 0.239583 210.066 306.328
  59 0.24375 191.236 304.454
  60 0.247917 200.954 301.073
  61 0.252083 209.39 303.185
  62 0.25625 193.698 299.473
  63 0.260417 211.79 300.569
  64 0.264583 189.846 302.158
  65 0.26875 189.002 299.832
  66 0.272917 210 300.83
  67 0.277083 189 298.062
  68 0.28125 189 296.84
  69 0.285417 210 296.283
  70 0.289583 189 298.693
  71 0.29375 189 298.796
  72 0.297917 210 299.74
  73 0.302083 189.012 297.349
  74 0.30625 189.446 295.287
  75 0.310417 211.508 297.292
  76 0.314583 189.3 299.885
  77 0.31875 204.504 300.104
  78 0.322917 208.588 302.946
  79 0.327083 189.73 306.058
  80 0.33125 212.134 306.18
  81 0.335417 190.708 307.787
  82 0.339583 189.058 305.975
  83 0.34375 210.01 303.374
  84 0.347917 189.002 301.19
  85 0.352083 189 307.615
  86 0.35625 210 305.958
  87 0.360417 189 302.99
  88 0.364583 189 302.729
  89 0.36875 210 303.411
  90 0.372917 189 302.583
  91 0.377083 189.012 301.524
  92 0.38125 210.184 298.536
  93 0.385417 188.864 300.457
  94 0.389583 192.602 300.431
  95 0.39375 212.656 304.801
  96 0.397917 187.416 301.44
  97 0.402083 206.252 297.945
  98 0.40625 205.492 299.112
  99 0.410417 187.364 299.452
  100 0.414583 212.004 301.471
  101 0.41875 192.136 300.571
  102 0.422917 188.56 302.046
  103 0.427083 210.346 303.078
  104 0.43125 189.112 299.621
  105 0.435417 189 301.562
  106 0.439583 210 302.005
  107 0.44375 189 306.367
  108 0.447917 189 304.33
  109 0.452083 210 301.842
  110 0.45625 189 308.14
  111 0.460417 189.082 307.428
  112 0.464583 210.776 305.2
  113 0.46875 188.456 306.037
  114 0.472917 198.074 301.431
  115 0.477083 212.5 301.951
  116 0.48125 186.468 306.914
  117 0.485417 211.886 299.455
  118 0.489583 198.438 302.671
  119 0.49375 187.468 300.416
  120 0.497917 211.372 298.039
  121 0.502083 189.48 300.925
  122 0.50625 188.994 304.599
  123 0.510417 210.006 303.284
  124 0.514583 189 297.288
  125 0.51875 189 298.441
  126 0.522917 210 299.547
  127 0.527083 189 300.556
  128 0.53125 189 299.087
  129 0.535417 210 303.651
  130 0.539583 189 297.971
  131 0.54375 189.05 301.791
  132 0.547917 210.272 297.248
  133 0.552083 188.87 296.407
  134 0.55625 193.878 293.937
  135 0.560417 211.602 293.848
  136 0.564583 190.15 296.902
  137 0.56875 207.16 295.772
  138 0.572917 201.992 292.402
  139 0.577083 190.006 296.675
  140 0.58125 211.31 291.645
  141 0.585417 189.704 295.417
  142 0.589583 189 299.457
  143 0.59375 210.006 302.915
  144 0.597917 189 300.945
  145 0.602083 189 302.359
  146 0.60625 210 300.587
  147 0.610417 189 299.225
  148 0.614583 189 301.177
  149 0.61875 210 299.326
  150 0.622917 189 302.92
  151 0.627083 189.002 305.814
  152 0.63125 210.062 300.882
  153 0.635417 188.944 302.657
  154 0.639583 190.68 300.9
  155 0.64375 211.124 301.146
  156 0.647917 188.846 297.874
  157 0.652083 199.598 295.565
  158 0.65625 207.912 297.45
  159 0.660417 194.232 301.26
  160 0.664583 211.188 299.754
  161 0.66875 191.912 297.647
  162 0.672917 189.472 297.043
  163 0.677083 210.02 298.72
  164 0.68125 189.008 300.529
  165 0.685417 189 299.032
  166 0.689583 210 295.658
  167 0.69375 189 296.17
  168 0.697917 189 296.765
  169 0.702083 210 294.61
  170 0.70625 189 286.911
  171 0.710417 189 294.405
  172 0.714583 210 293.106
  173 0.71875 189 299.581
  174 0.722917 189.01 301.417
  175 0.727083 210.104 303.533
  176 0.73125 188.976 298.415
  177 0.735417 190.95 300.136
  178 0.739583 211.034 302.632
  179 0.74375 192.922 301.758
  180 0.747917 206.256 296.64
  181 0.752083 202.866 295.224
  182 0.75625 191.002 296.883
  183 0.760417 211.132 299.673
  184 0.764583 189.738 300.082
  185 0.76875 188.99 299.626
  186 0.772917 210.02 298.664
  187 0.777083 189 293.397
  188 0.78125 189 298.061
  189 0.785417 210 298.949
  190 0.789583 189 301.661
  191 0.79375 189 302.602
  192 0.797917 210 302.413
  193 0.802083 189 303.371
  194 0.80625 189 298.89
  195 0.810417 210 293.223
