# Time-correlated data for fix JJ
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_flux[1]*c_flux[1] c_flux[2]*c_flux[2] c_flux[3]*c_flux[3]
0 100
57 196000 45 305542 -186171 -109823
58 199500 44 23754.3 67401.5 20067.2
59 203000 43 -163774 126735 -150813
60 206500 42 6462.09 -56802.1 -29383.5
61 210000 41 38691.7 -224726 55455.5
62 213500 40 100607 33170.6 172291
63 217000 39 -132693 73865.8 80397.5
64 220500 38 61008.8 -15337.2 284805
65 224000 37 17674.6 -80809.5 -75215.5
66 227500 36 -47812.5 90303.2 95097.1
67 231000 35 -5344.6 -177350 -70157.2
68 234500 34 -88582.5 -9805.93 -134172
69 238000 33 -21726.8 220972 229349
70 241500 32 54721.8 158151 75098.4
71 245000 31 86369 -150240 285300
72 248500 30 -7826.28 108085 83023.4
73 252000 29 -85526.1 56864.7 94210
74 255500 28 -13655.6 -283000 -322850
75 259000 27 177785 -186028 270783
76 262500 26 106159 119356 155151
77 266000 25 -198382 54310.4 -118215
78 269500 24 37831.5 -191313 293768
79 273000 23 129702 70533.7 -66212.1
80 276500 22 90374.2 143421 80295.7
81 280000 21 126282 73692.3 -135733
82 283500 20 -153929 -212737 236865
83 287000 19 -7584.37 -5181.16 -232476
84 290500 18 -64605.7 93325.2 55721.6
85 294000 17 -78234.2 58832.3 -53544
86 297500 16 -97849.4 -243103 -159452
87 301000 15 42813.7 277729 185337
88 304500 14 -138948 -373905 -319160
89 308000 13 -99266.7 74511.8 489703
90 311500 12 -191970 -226718 -117501
91 315000 11 -145035 163047 92169.8
92 318500 10 198173 -442676 49213.1
93 322000 9 584957 591729 187333
94 325500 8 456192 136370 -36568.1
95 329000 7 -170324 -107285 41611.5
96 332500 6 -317411 -24699.5 411043
97 336000 5 68500.8 312362 -403025
98 339500 4 148581 83606.3 -161581
99 343000 3 284104 -8552.6 132091
100 346500 2 215233 324412 268114
700000 100
1 0 201 808803 766639 836948
2 3500 200 118865 -84331.8 -2889.71
3 7000 199 19780.5 44379.7 54188
4 10500 198 29371.9 -33118.9 17182.8
5 14000 197 -10516.5 15406.5 21678.3
6 17500 196 24037.4 -48189.1 -42973.4
7 21000 195 -17851.1 -81871.1 -6560.89
8 24500 194 -111593 57941.5 -6173.11
9 28000 193 -45169.2 -45705.7 62375.9
10 31500 192 -29391.6 -56668.3 124935
11 35000 191 -114667 17039.6 47519.3
12 38500 190 -41363.2 3771.28 37781.3
13 42000 189 -32837.2 9823.43 10485.7
14 45500 188 51991 -2002.6 47826.6
15 49000 187 68216.4 -2719.34 107982
16 52500 186 -52839.7 8252.25 75318.9
17 56000 185 -128404 -55563.7 11507.8
18 59500 184 -81833.7 72965.5 100250
19 63000 183 74027.8 -65408.1 -18055.6
20 66500 182 91600.3 -111172 29243.2
21 70000 181 -63889.6 -93052.9 71894.4
22 73500 180 -4453.96 -49506 -54188.5
23 77000 179 -32404 -60532 58898.3
24 80500 178 -21594.4 57344.3 96247.3
25 84000 177 17195 47223.1 -12626.4
26 87500 176 -36095 139811 114666
27 91000 175 -93022.6 -16726.1 30871.8
28 94500 174 81800.7 52046.4 -72498.7
29 98000 173 -23580.5 -85751.8 -10069.9
30 101500 172 -21405 88775.3 100217
31 105000 171 4861.39 -4387.24 -82214.8
32 108500 170 -21960.3 -20917.5 -8238.52
33 112000 169 83403.4 -14531.1 162940
34 115500 168 136878 -21493.5 23828.7
35 119000 167 -22652.8 53097.2 35952
36 122500 166 -59196.8 3793.88 36694.7
37 126000 165 72633.7 -37889.5 13789.6
38 129500 164 123508 17632.3 113045
39 133000 163 61716.1 -31558.2 -60073.6
40 136500 162 -22452.4 -24669.2 24683.5
41 140000 161 -11900.3 88400.7 23480.7
42 143500 160 -15151.9 -80670.3 37774.2
43 147000 159 23758.8 34403.4 26019.7
44 150500 158 -26272.2 -86203.1 22985.8
